ue1_distance_ft,ue2_distance_ft,gain_db,amp,amp_bandwidth,jammer_gnb_distance_ft,pci,ue_identifier,dl_cqi,dl_ri,dl_mcs,dl_brate,dl_ok,dl_nok,dl_percent,dl_bs,ul_pusch,ul_rsrp,ul_ri,ul_mcs,ul_brate,ul_ok,ul_nok,ul_percent,ul_bsr,ul_ta,ul_phr
20,30,,,,,1,ue2,11,1.0,0,0,0,0,0,0,n/a,n/a,1,0,0,0,0,0,0,46,-8
20,30,,,,,1,ue2,12,1.0,0,0,0,0,0,0,n/a,n/a,1,0,0,0,0,0,0,82,-8
20,30,,,,,1,ue2,10,1.0,16,50000.0,28,14,33,0,25.5,-1.9,1,26,51000.0,10,2,16,0,315,-2
20,30,,,,,1,ue2,15,1.0,2,4500.0,13,0,0,0,24.2,-0.9,1,25,28000.0,6,0,0,0,179,-6
20,30,,,,,1,ue2,9,1.0,0,0,0,0,0,0,n/a,n/a,1,0,0,0,0,0,0,342,-2
20,30,,,,,1,ue2,13,1.0,0,0,0,0,0,0,n/a,n/a,1,0,0,0,0,0,0,60,-6
20,30,,,,,1,ue2,9,1.0,0,0,0,0,0,0,n/a,n/a,1,0,0,0,0,0,0,353,-2
20,30,,,,,1,ue2,12,1.0,0,0,0,0,0,0,n/a,n/a,1,0,0,0,0,0,0,37,-6
20,30,,,,,1,ue2,9,1.0,9,608,2,2,50,0,26.6,ovl,1,27,4900.0,1,1,50,0,387,-1
20,30,,,,,1,ue2,14,1.0,3,2800.0,3,0,0,0,26.4,-2.8,1,19,8600.0,2,0,0,0,8,-5
20,30,,,,,1,ue2,9,1.0,0,0,0,0,0,0,n/a,n/a,1,0,0,0,0,0,0,372,-1
20,30,,,,,1,ue2,11,1.0,19,244000.0,58,11,15,0,26.2,-2.2,1,27,162000.0,25,10,28,0,282,-7
20,30,,,,,1,ue2,8,1.0,10,3200.0,10,13,56,0,n/a,n/a,1,0,0,0,0,0,0,300,-1
20,30,,,,,1,ue2,10,1.0,0,0,0,0,0,0,n/a,n/a,1,0,0,0,0,0,0,304,-7
20,30,,,,,1,ue2,10,1.0,10,3000.0,9,14,60,0,n/a,n/a,1,0,0,0,0,0,0,266,-1
20,30,,,,,1,ue2,10,1.0,0,0,0,0,0,0,n/a,n/a,1,0,0,0,0,0,0,328,-7
20,30,,,,,1,ue2,10,1.0,10,1600.0,5,7,58,0,24.2,-0.3,1,27,4900.0,1,0,0,0,129,1
20,30,,,,,1,ue2,10,1.0,0,0,0,0,0,0,n/a,n/a,1,0,0,0,0,0,0,330,-7
20,30,,,,,1,ue2,11,1.0,11,1800.0,5,5,50,0,n/a,n/a,1,0,0,0,0,0,0,212,1
20,30,,,,,1,ue2,10,1.0,0,0,0,0,0,0,26.1,-0.5,1,27,4900.0,1,1,50,0,329,-8
20,30,,,,,1,ue2,11,1.0,11,1400.0,4,4,50,0,n/a,n/a,1,0,0,0,0,0,0,186,1
20,30,,,,,1,ue2,10,1.0,0,0,0,0,0,0,26.2,-0.7,1,27,4900.0,1,0,0,0,297,-8
20,30,,,,,1,ue2,11,1.0,11,992,3,3,50,0,26.6,-2.9,1,27,4900.0,1,0,0,0,128,3
20,30,,,,,1,ue2,10,1.0,0,0,0,0,0,0,n/a,n/a,1,0,0,0,0,0,0,342,-8
20,30,,,,,1,ue2,11,1.0,0,0,0,0,0,0,n/a,n/a,1,0,0,0,0,0,0,329,3
20,30,,,,,1,ue2,10,1.0,0,0,0,0,0,0,n/a,n/a,1,0,0,0,0,0,0,342,-8
20,30,,,,,1,ue2,10,1.0,0,0,0,0,0,0,26.8,-1.2,1,27,9700.0,2,0,0,0,350,2
20,30,,,,,1,ue2,10,1.0,0,0,0,0,0,0,n/a,n/a,1,0,0,0,0,0,0,360,-8
20,30,,,,,1,ue2,9,1.0,0,0,0,0,0,0,n/a,n/a,1,0,0,0,0,0,0,341,2
20,30,,,,,1,ue2,10,1.0,0,0,0,0,0,0,n/a,n/a,1,0,0,0,0,0,0,337,-8
20,30,,,,,1,ue2,10,1.0,0,0,0,0,0,0,27.7,ovl,1,27,4900.0,1,0,0,0,373,0
20,30,,,,,1,ue2,10,1.0,0,0,0,0,0,0,n/a,n/a,1,0,0,0,0,0,0,331,-8
20,30,,,,,1,ue2,10,1.0,0,0,0,0,0,0,27.4,ovl,1,27,4900.0,1,0,0,0,366,0
20,30,,,,,1,ue2,10,1.0,0,0,0,0,0,0,27.9,-0.7,1,27,4900.0,1,0,0,0,302,-8
20,30,,,,,1,ue2,11,1.0,0,0,0,0,0,0,n/a,n/a,1,0,0,0,0,0,0,353,0
20,30,,,,,1,ue2,10,1.0,0,0,0,0,0,0,n/a,n/a,1,0,0,0,0,0,0,326,-8
20,30,,,,,1,ue2,11,1.0,13,432,1,1,50,0,n/a,n/a,1,0,0,0,0,0,0,354,0
20,30,,,,,1,ue2,10,1.0,0,0,0,0,0,0,26.5,-0.9,1,27,4900.0,1,0,0,0,295,-8
20,30,,,,,1,ue2,12,1.0,13,3800.0,9,8,47,0,28.0,-3.7,1,27,4900.0,1,0,0,0,142,3
20,30,,,,,1,ue2,10,1.0,0,0,0,0,0,0,26.5,-0.6,1,27,15000.0,3,1,25,0,308,-8
20,30,,,,,1,ue2,12,1.0,12,1900.0,5,3,37,0,n/a,n/a,1,0,0,0,0,0,0,186,3
20,30,,,,,1,ue2,10,1.0,0,0,0,0,0,0,n/a,n/a,1,0,0,0,0,0,0,332,-8
20,30,,,,,1,ue2,12,1.0,0,0,0,0,0,0,n/a,n/a,1,0,0,0,0,0,0,158,3
20,30,,,,,1,ue2,10,1.0,0,0,0,0,0,0,n/a,n/a,1,0,0,0,0,0,0,336,-8
20,30,,,,,1,ue2,12,1.0,13,1300.0,3,3,50,0,n/a,n/a,1,0,0,0,0,0,0,200,3
20,30,,,,,1,ue2,10,1.0,0,0,0,0,0,0,26.6,-0.7,1,27,4900.0,1,0,0,0,313,-8
20,30,,,,,1,ue2,12,1.0,13,864,2,2,50,0,25.9,-4.0,1,27,9700.0,2,0,0,0,346,2
20,30,,,,,1,ue2,10,1.0,0,0,0,0,0,0,27.1,-0.7,1,27,9700.0,2,0,0,0,304,-8
20,30,,,,,1,ue2,12,1.0,0,0,0,0,0,0,n/a,n/a,1,0,0,0,0,0,0,327,2
20,30,,,,,1,ue2,10,1.0,0,0,0,0,0,0,n/a,n/a,1,0,0,0,0,0,0,333,-8
20,30,,,,,1,ue2,12,1.0,0,0,0,0,0,0,25.6,-3.6,1,27,4900.0,1,0,0,0,302,1
20,30,,,,,1,ue2,10,1.0,0,0,0,0,0,0,26.5,-0.8,1,27,9700.0,2,1,33,0,325,-8
20,30,,,,,1,ue2,12,1.0,0,0,0,0,0,0,27.7,-3.9,1,27,9700.0,2,0,0,0,314,2
20,30,,,,,1,ue2,10,1.0,0,0,0,0,0,0,25.7,-0.6,1,27,4900.0,1,0,0,0,308,-8
20,30,,,,,1,ue2,12,1.0,0,0,0,0,0,0,n/a,n/a,1,0,0,0,0,0,0,340,2
20,30,,,,,1,ue2,10,1.0,0,0,0,0,0,0,n/a,n/a,1,0,0,0,0,0,0,322,-8
20,30,,,,,1,ue2,12,1.0,0,0,0,0,0,0,28.7,-4.2,1,27,4900.0,1,0,0,0,370,2
20,30,,,,,1,ue2,10,1.0,0,0,0,0,0,0,n/a,n/a,1,0,0,0,0,0,0,338,-8
20,30,,,,,1,ue2,12,1.0,13,864,2,1,33,0,24.9,-4.5,1,27,4900.0,1,0,0,0,354,2
20,30,,,,,1,ue2,10,1.0,0,0,0,0,0,0,n/a,n/a,1,0,0,0,0,0,0,351,-8
20,30,,,,,1,ue2,12,1.0,12,752,2,0,0,0,n/a,n/a,1,0,0,0,0,0,0,338,2
20,30,,,,,1,ue2,10,1.0,0,0,0,0,0,0,n/a,n/a,1,0,0,0,0,0,0,329,-8
20,30,,,,,1,ue2,11,1.0,12,2400.0,6,2,25,0,n/a,n/a,1,0,0,0,0,0,0,311,2
20,30,,,,,1,ue2,10,1.0,0,0,0,0,0,0,n/a,n/a,1,0,0,0,0,0,0,337,-8
20,30,,,,,1,ue2,12,1.0,12,4400.0,11,5,31,0,28.4,-4.2,1,27,4900.0,1,0,0,0,126,2
20,30,,,,,1,ue2,10,1.0,0,0,0,0,0,0,26.4,-0.7,1,27,4900.0,1,1,50,0,301,-8
20,30,,,,,1,ue2,12,1.0,12,1600.0,4,2,33,0,n/a,n/a,1,0,0,0,0,0,0,188,2
20,30,,,,,1,ue2,10,1.0,0,0,0,0,0,0,n/a,n/a,1,0,0,0,0,0,0,317,-8
20,30,,,,,1,ue2,12,1.0,13,1600.0,4,0,0,0,n/a,n/a,1,0,0,0,0,0,0,180,2
20,30,,,,,1,ue2,10,1.0,0,0,0,0,0,0,n/a,n/a,1,0,0,0,0,0,0,301,-8
20,30,,,,,1,ue2,12,1.0,13,1200.0,3,1,25,0,n/a,n/a,1,0,0,0,0,0,0,288,2
20,30,,,,,1,ue2,10,1.0,0,0,0,0,0,0,n/a,n/a,1,0,0,0,0,0,0,315,-8
20,30,,,,,1,ue2,11,1.0,0,0,0,0,0,0,n/a,n/a,1,0,0,0,0,0,0,298,2
20,30,,,,,1,ue2,10,1.0,0,0,0,0,0,0,27.6,-0.7,1,27,4900.0,1,0,0,0,308,-8
20,30,,,,,1,ue2,12,1.0,0,0,0,0,0,0,26.5,-6.8,1,27,4900.0,1,0,0,0,337,3
20,30,,,,,1,ue2,10,1.0,0,0,0,0,0,0,26.3,-0.6,1,27,4900.0,1,0,0,0,297,-8
20,30,,,,,1,ue2,12,1.0,0,0,0,0,0,0,n/a,n/a,1,0,0,0,0,0,0,335,3
20,30,,,,,1,ue2,10,1.0,0,0,0,0,0,0,n/a,n/a,1,0,0,0,0,0,0,318,-8
20,30,,,,,1,ue2,12,1.0,0,0,0,0,0,0,n/a,n/a,1,0,0,0,0,0,0,350,3
20,30,,,,,1,ue2,10,1.0,0,0,0,0,0,0,25.2,-0.7,1,27,9700.0,2,1,33,0,295,-8
20,30,,,,,1,ue2,11,1.0,0,0,0,0,0,0,n/a,n/a,1,0,0,0,0,0,0,343,3
20,30,,,,,1,ue2,10,1.0,0,0,0,0,0,0,n/a,n/a,1,0,0,0,0,0,0,309,-8
20,30,,,,,1,ue2,11,1.0,0,0,0,0,0,0,n/a,n/a,1,0,0,0,0,0,0,346,3
20,30,,,,,1,ue2,10,1.0,0,0,0,0,0,0,n/a,n/a,1,0,0,0,0,0,0,318,-8
20,30,,,,,1,ue2,11,1.0,0,0,0,0,0,0,n/a,n/a,1,0,0,0,0,0,0,351,3
20,30,,,,,1,ue2,10,1.0,0,0,0,0,0,0,n/a,n/a,1,0,0,0,0,0,0,335,-8
20,30,,,,,1,ue2,11,1.0,0,0,0,0,0,0,n/a,n/a,1,0,0,0,0,0,0,363,3
20,30,,,,,1,ue2,10,1.0,0,0,0,0,0,0,n/a,n/a,1,0,0,0,0,0,0,334,-8
20,30,,,,,1,ue2,12,1.0,12,3500.0,9,0,0,0,26.2,-2.3,1,27,9700.0,2,0,0,0,261,1
20,30,,,,,1,ue2,10,1.0,0,0,0,0,0,0,n/a,n/a,1,0,0,0,0,0,0,331,-8
20,30,,,,,1,ue2,12,1.0,12,1500.0,4,0,0,0,26.0,-1.3,1,27,9700.0,2,0,0,0,137,0
20,30,,,,,1,ue2,10,1.0,0,0,0,0,0,0,n/a,n/a,1,0,0,0,0,0,0,324,-8
20,30,,,,,1,ue2,12,1.0,12,784,2,0,0,0,n/a,n/a,1,0,0,0,0,0,0,177,0
20,30,,,,,1,ue2,10,1.0,0,0,0,0,0,0,n/a,n/a,1,0,0,0,0,0,0,335,-8
20,30,,,,,1,ue2,12,1.0,12,752,2,0,0,0,26.5,-3.9,1,27,9700.0,2,0,0,0,128,1
20,30,,,,,1,ue2,10,1.0,0,0,0,0,0,0,27.8,-0.7,1,27,9700.0,2,0,0,0,329,-7
20,30,,,,,1,ue2,12,1.0,13,1200.0,3,1,25,0,n/a,n/a,1,0,0,0,0,0,0,223,1
20,30,,,,,1,ue2,10,1.0,0,0,0,0,0,0,n/a,n/a,1,0,0,0,0,0,0,338,-7
20,30,,,,,1,ue2,12,1.0,0,0,0,0,0,0,27.0,-2.7,1,27,9700.0,2,0,0,0,306,0
20,30,,,,,1,ue2,10,1.0,0,0,0,0,0,0,n/a,n/a,1,0,0,0,0,0,0,329,-7
20,30,,,,,1,ue2,11,1.0,0,0,0,0,0,0,n/a,n/a,1,0,0,0,0,0,0,324,0
20,30,,,,,1,ue2,10,1.0,0,0,0,0,0,0,26.1,-0.7,1,27,9700.0,2,0,0,0,301,-8
20,30,,,,,1,ue2,11,1.0,0,0,0,0,0,0,n/a,n/a,1,0,0,0,0,0,0,342,0
20,30,,,,,1,ue2,10,1.0,0,0,0,0,0,0,n/a,n/a,1,0,0,0,0,0,0,329,-8
20,30,,,,,1,ue2,11,1.0,0,0,0,0,0,0,27.6,-0.4,1,27,4900.0,1,0,0,0,352,0
20,30,,,,,1,ue2,10,1.0,0,0,0,0,0,0,25.9,-0.8,1,27,4900.0,1,0,0,0,292,-8
20,30,,,,,1,ue2,11,1.0,0,0,0,0,0,0,25.8,ovl,1,27,4900.0,1,0,0,0,397,-1
20,30,,,,,1,ue2,10,1.0,0,0,0,0,0,0,n/a,n/a,1,0,0,0,0,0,0,346,-8
20,30,,,,,1,ue2,11,1.0,0,0,0,0,0,0,n/a,n/a,1,0,0,0,0,0,0,366,-1
20,30,,,,,1,ue2,10,1.0,0,0,0,0,0,0,25.8,-0.7,1,27,9700.0,2,0,0,0,320,-8
20,30,,,,,1,ue2,11,1.0,10,1400.0,4,3,42,0,26.1,ovl,1,27,4900.0,1,0,0,0,408,-1
20,30,,,,,1,ue2,10,1.0,0,0,0,0,0,0,25.0,-0.7,1,27,9700.0,2,0,0,0,296,-8
20,30,,,,,1,ue2,11,1.0,10,3000.0,9,5,35,0,25.8,ovl,1,27,4900.0,1,0,0,0,394,-1
20,30,,,,,1,ue2,10,1.0,0,0,0,0,0,0,n/a,n/a,1,0,0,0,0,0,0,320,-8
20,30,,,,,1,ue2,11,1.0,11,2000.0,6,5,45,0,27.2,ovl,1,27,4900.0,1,0,0,0,159,-2
20,30,,,,,1,ue2,10,1.0,0,0,0,0,0,0,25.7,-0.7,1,27,4900.0,1,0,0,0,297,-8
20,30,,,,,1,ue2,10,1.0,10,3500.0,11,4,26,0,n/a,n/a,1,0,0,0,0,0,0,230,-2
20,30,,,,,1,ue2,10,1.0,0,0,0,0,0,0,26.0,-0.7,1,27,4900.0,1,1,50,0,308,-8
20,30,,,,,1,ue2,11,1.0,0,0,0,0,0,0,27.8,ovl,1,27,4900.0,1,0,0,0,365,-2
20,30,,,,,1,ue2,10,1.0,0,0,0,0,0,0,n/a,n/a,1,0,0,0,0,0,0,299,-8
20,30,,,,,1,ue2,11,1.0,0,0,0,0,0,0,n/a,n/a,1,0,0,0,0,0,0,301,-2
20,30,,,,,1,ue2,10,1.0,0,0,0,0,0,0,n/a,n/a,1,0,0,0,0,0,0,307,-8
20,30,,,,,1,ue2,11,1.0,10,2000.0,4,0,0,0,26.1,ovl,1,27,19000.0,4,0,0,0,363,-2
20,30,,,,,1,ue2,10,1.0,0,0,0,0,0,0,n/a,n/a,1,0,0,0,0,0,0,309,-8
20,30,,,,,1,ue2,10,1.0,0,0,0,0,0,0,n/a,n/a,1,0,0,0,0,0,0,352,-2
20,30,,,,,1,ue2,10,1.0,0,0,0,0,0,0,n/a,n/a,1,0,0,0,0,0,0,321,-8
20,30,,,,,1,ue2,10,1.0,0,0,0,0,0,0,27.8,ovl,1,27,4900.0,1,0,0,0,343,-2
20,30,,,,,1,ue2,10,1.0,0,0,0,0,0,0,n/a,n/a,1,0,0,0,0,0,0,324,-8
20,30,,,,,1,ue2,9,1.0,7,1800.0,8,0,0,0,27.0,ovl,1,27,4900.0,1,0,0,0,368,-2
20,30,,,,,1,ue2,10,1.0,0,0,0,0,0,0,n/a,n/a,1,0,0,0,0,0,0,302,-8
20,30,,,,,1,ue2,10,1.0,8,2400.0,9,0,0,0,26.8,ovl,1,27,4900.0,1,1,50,0,386,-2
20,30,,,,,1,ue2,10,1.0,14,2800.0,4,0,0,0,27.3,-0.6,1,27,19000.0,4,0,0,0,285,-7
20,30,,,,,1,ue2,10,1.0,9,2900.0,10,0,0,0,n/a,n/a,1,0,0,0,0,0,0,235,-2
20,30,,,,,1,ue2,10,1.0,0,0,0,0,0,0,n/a,n/a,1,0,0,0,0,0,0,320,-7
20,30,,,,,1,ue2,10,1.0,0,0,0,0,0,0,n/a,n/a,1,0,0,0,0,0,0,145,-2
20,30,,,,,1,ue2,10,1.0,0,0,0,0,0,0,n/a,n/a,1,0,0,0,0,0,0,325,-7
20,30,,,,,1,ue2,10,1.0,0,0,0,0,0,0,n/a,n/a,1,0,0,0,0,0,0,158,-2
20,30,,,,,1,ue2,10,1.0,0,0,0,0,0,0,n/a,n/a,1,0,0,0,0,0,0,325,-7
20,30,,,,,1,ue2,10,1.0,0,0,0,0,0,0,n/a,n/a,1,0,0,0,0,0,0,170,-2
20,30,,,,,1,ue2,11,1.0,0,0,0,0,0,0,25.7,-0.8,1,27,4900.0,1,0,0,0,309,-7
20,30,,,,,1,ue2,10,1.0,9,608,2,0,0,0,n/a,n/a,1,0,0,0,0,0,0,155,-2
20,30,,,,,1,ue2,11,1.0,0,0,0,0,0,0,n/a,n/a,1,0,0,0,0,0,0,319,-7
20,30,,,,,1,ue2,10,1.0,10,1300.0,4,0,0,0,28.2,-0.5,1,27,4900.0,1,0,0,0,150,-1
20,30,,,,,1,ue2,11,1.0,0,0,0,0,0,0,28.1,-0.8,1,27,4900.0,1,0,0,0,309,-7
20,30,,,,,1,ue2,11,1.0,9,304,1,0,0,0,26.8,-0.5,1,27,4900.0,1,0,0,0,305,-1
20,30,,,,,1,ue2,11,1.0,0,0,0,0,0,0,28.4,-0.8,1,27,4900.0,1,0,0,0,337,-7
20,30,,,,,1,ue2,10,1.0,0,0,0,0,0,0,n/a,n/a,1,0,0,0,0,0,0,331,-1
20,30,,,,,1,ue2,11,1.0,0,0,0,0,0,0,n/a,n/a,1,0,0,0,0,0,0,305,-7
20,30,,,,,1,ue2,10,1.0,0,0,0,0,0,0,26.3,-1.1,1,27,4900.0,1,0,0,0,359,-2
